      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi
        278.805       0.161361        669.131        2007.39       0.997783       0.181298     0.00610244      0.0248986      0.0626074     0.00106284      0.0370129      0.0563849       0.110888
        297.731        0.16119        714.555        2143.66       0.998392       0.181357     0.00608625      0.0248821      0.0624172     0.00105945      0.0369008      0.0563299       0.110757
        317.943       0.161019        763.062        2289.19       0.998858       0.181393     0.00606829      0.0248592      0.0622272     0.00105559      0.0367835      0.0562679       0.110629
        339.526       0.160848        814.862        2444.59       0.999208        0.18141     0.00604886      0.0248309      0.0620373     0.00105132      0.0366621      0.0562001       0.110503
        362.575       0.160678        870.179        2610.54       0.999464       0.181412     0.00602824      0.0247982      0.0618475     0.00104673      0.0365372      0.0561275       0.110378
        387.188       0.160507        929.251        2787.75       0.999647         0.1814     0.00600667      0.0247622      0.0616574     0.00104188      0.0364096      0.0560511       0.110254
        413.472       0.160336        992.333           2977       0.999774       0.181379     0.00598436      0.0247235      0.0614672     0.00103683      0.0362798      0.0559716        0.11013
         441.54       0.160165         1059.7        3179.09       0.999859       0.181351     0.00596148      0.0246829      0.0612766     0.00103163      0.0361484      0.0558897       0.110007
        471.514       0.159995        1131.63         3394.9       0.999915       0.181317     0.00593816      0.0246408      0.0610856     0.00102631      0.0360157      0.0558059       0.109883
        503.523       0.159824        1208.45        3625.36       0.999951       0.181278     0.00591451      0.0245976      0.0608942      0.0010209      0.0358821      0.0557206        0.10976
        537.704       0.159653        1290.49        3871.47       0.999972       0.181236      0.0058906      0.0245537      0.0607024     0.00101543      0.0357477      0.0556341       0.109636
        574.206       0.159482        1378.09        4134.28       0.999985       0.181192      0.0058665      0.0245091        0.06051      0.0010099      0.0356128      0.0555466       0.109511
        613.186       0.159311        1471.65        4414.94       0.999992       0.181145     0.00584225      0.0244642      0.0603172     0.00100433      0.0354774      0.0554582       0.109386
        654.812       0.159141        1571.55        4714.64       0.999996       0.181097     0.00581787      0.0244189       0.060124     0.00099873      0.0353416      0.0553691        0.10926
        699.263        0.15897        1678.23         5034.7       0.999998       0.181047     0.00579338      0.0243733      0.0599303      0.0009931      0.0352055      0.0552793       0.109133
        746.732       0.158799        1792.16        5376.47       0.999999       0.180996     0.00576879      0.0243274      0.0597361    0.000987446      0.0350691      0.0551888       0.109006
        797.424       0.158628        1913.82        5741.45              1       0.180943     0.00574412      0.0242814      0.0595416    0.000981773      0.0349325      0.0550977       0.108878
        851.557       0.158458        2043.74        6131.21              1       0.180889     0.00571938      0.0242351      0.0593466    0.000976082      0.0347956      0.0550059       0.108749
        909.365       0.158287        2182.47        6547.42              1       0.180834     0.00569457      0.0241885      0.0591513    0.000970379      0.0346586      0.0549136       0.108619
        971.096       0.158116        2330.63        6991.89              1       0.180777     0.00566971      0.0241418      0.0589556    0.000964666      0.0345214      0.0548207       0.108489
        1037.02       0.157945        2488.85        7466.54              1        0.18072     0.00564479      0.0240948      0.0587596    0.000958946       0.034384      0.0547272       0.108357
        1107.42       0.157775         2657.8         7973.4              1       0.180661     0.00561984      0.0240477      0.0585632    0.000953222      0.0342464      0.0546332       0.108225
        1182.59       0.157604        2838.22        8514.67              1       0.180602     0.00559485      0.0240003      0.0583666      0.0009475      0.0341088      0.0545387       0.108092
        1262.87       0.157433         3030.9        9092.69              1       0.180541     0.00556983      0.0239527      0.0581696     0.00094178       0.033971      0.0544436       0.107958
         1348.6       0.157262        3236.65        9709.94              1        0.18048      0.0055448      0.0239049      0.0579724    0.000936067      0.0338331      0.0543482       0.107824
        1440.15       0.157091        3456.36        10369.1              1       0.180418     0.00551975      0.0238569      0.0577749    0.000930363      0.0336951      0.0542522       0.107688
        1537.92       0.156921           3691          11073              1       0.180355      0.0054947      0.0238087      0.0575772     0.00092467      0.0335571      0.0541559       0.107552
        1642.32        0.15675        3941.56        11824.7              1       0.180291     0.00546964      0.0237603      0.0573793    0.000918989       0.033419      0.0540591       0.107415
        1753.81       0.156579        4209.13        12627.4              1       0.180227     0.00544459      0.0237117      0.0571812    0.000913322      0.0332808      0.0539619       0.107277
        1872.86       0.156408        4494.87        13484.6              1       0.180162     0.00541954      0.0236629      0.0569829    0.000907668      0.0331427      0.0538643       0.107138
           2000       0.156238           4800          14400              1       0.180097     0.00539449      0.0236139      0.0567844    0.000902028      0.0330045      0.0537664       0.106999
